,id,tweet,classification,tweet_
0,809927403615256576,"En definitiva! Me quedé sin campo para ir a Tacares, ya que me había mentalizado y ya hasta quería ir #percebe",0,definitivo quedar campo ir mentalizado hasta querer ir
1,796040775364710400,@dianalaa32 Es una escena de uno de los documentales más respetados sobre naturaleza ('Planet Earth' de la BBC). Dudo que sea montado.,2,escena documental respetado naturaleza planet earth bb dudar montado
2,802912779854352384,Qué feo es tener que terminar con alguien; y más cuando las dos personas aún se aman pero el entorno no es favorable.,0,feo tener terminar alguien dos persona aún amar pero entorno no favorable
3,800835505717972992,"Oído en McDonalds ""el mejor mannequin challenge que he visto hasta ahora es el que ha venido haciendo este gobierno desde hace dos años""",0,oer mcdonalds mejor challenge visto hasta ahora venir hacer gobierno hacer dos año
4,791640101751230464,"Tengo que aceptar que me esta hundiendo el consumismo con la nueva Macbook Pro, la Gopro Hero 5, el Gopro Karma y el Nintendo Switch",1,aceptar hundir consumismo nuevo pro gorro hero gorro karma switch
5,758451150349664256,"Mmm no quiero hacer spoiler pero hoy va a ver algo nuevo en el canal,lo podras ver en el nuevo video que subire en unas horas",1,mmm no querer hacer spoiler pero hoy ir ver nuevo canal podra ver nuevo video subire hora
6,760715780732354561,@itsdylanjos yo solo las cucas,1,yo solo cura
7,800388250942709760,@Adri_hdezv Bby muy duro la verdad,0,by mucho duro verdad
8,801870717969174529,@_AlejandroDP no estoy en la zona roja,1,no zona rojo
9,814853214050906112,Quiero como tener carro para hacer todo rápido,1,querer tener carro hacer rápido
10,815439552038977537,Tristeza más hp me da siempre en año nuevo,0,tristeza hp dar siempre año nuevo
11,817032173689696257,"@sancarlena77 @miguelpintor05 @demalaspalabras sip, te entendí por tu tuit anterior",1,sip entender por tu tuit anterior
12,811219074059476992,"@eebenitez_ Jajaja es muy triste esto, pero ya hoy consigo otro",2,jajajar mucho triste pero hoy conseguir
13,813467340713193472,"@ignaciosolisw ya yo voy de vuelta, pero le dejé la pampa lindísima",2,yo ir vuelta pero dejar pampa lindísimo
14,814710034236080128,"@BrujaMalvada_ no tengo en la casa apenas entre, te mando uno así jaja",1,no casar apenas mando así jajar
15,808870364856090625,mañana tengo el día libre y no tengo nada más que hacer que dormir,2,mañana día libre no nada hacer dormir
16,815388797747666944,@Jovel_Alvarez no sé si a todos les funcione pero ¡nosotros sí que lo vemos cumplido!,2,no saber si funcionar pero yo ver cumplido
17,811086379199397889,Para mi mamá toda la ropa que escojo es fea hasta que me la ve puesta,1,mamá ropa escojo feo hasta ver puesto
18,801958572213108737,"@vesamo13 ok, vea el lado positivo, tiene un motivo para hacerle drama el resto de si vida.",2,ok ver lado positivo motivo hacer él drama resto si vida
